id,expectation,clean_file,title,provider,source,n_operations,n_author_tags,author_tags,why_chosen
C1,cohesive,S2__xero.com__xero-payroll-au__2.9.4__openapi.yaml,Xero Payroll AU API,xero.com,S2,29,1,PayrollAu,one capability: payroll for AU orgs; Xero ships Files/Assets/BankFeeds as separate specs
C2,cohesive,S1__googleapis.com-vault-v1-swagger.yaml,G Suite Vault,googleapis.com,S1,28,1,matters,stated purpose: archiving and eDiscovery; every op hangs off a legal matter
C3,cohesive,S1__googleapis.com-spanner-v1-swagger.yaml,Cloud Spanner,googleapis.com,S1,28,1,projects,"object graph of one managed database: instances, databases, sessions, transactions"
C4,cohesive,S2__mtaa-api.herokuapp.com__1.0__openapi.yaml,Mtaa API Documentation,mtaa-api.herokuapp.com,S2,5,5,Districts in region|Streets in a ward|Tanzania regions|Wards in a district|neighborhood in a street,one strict admin hierarchy: regions > districts > wards > streets
C5,cohesive,S1__azure.com-keyvault-2018-02-14-swagger.yaml,KeyVaultManagementClient,azure.com,S1,12,1,Vaults,management-plane CRUD over a single Azure resource type
M1,mixed,S1__neutrinoapi.com-3.3.5-swagger.yaml,NeutrinoAPI,neutrinoapi.com,S1,26,6,Data Tools|E-commerce|Geolocation|Imaging|Security and Networking|Telephony,"author declares 6 unrelated domains: Data Tools, E-commerce, Geolocation, Imaging, Security and Networking, Telephony"
M2,mixed,S2__surevoip.co.uk__9dcb0dc8__openapi.yaml,The SureVoIP RESTful API,surevoip.co.uk,S2,28,19,announcements|areacodes|billing|calls|charges|contacts|customers|echo|faxes|global|hosted|mobile|numbers|partners|porting|sip|sms|support|topups,telephony + billing + CRM + reference data in one contract
M3,mixed,S2__paylocity.com__2__openapi.yaml,Paylocity API,paylocity.com,S2,30,16,Additional Rates|Client Credentials|Company Codes|Company-Specific Schema|Custom Fields|Direct Deposit|Earnings|Emergency Contacts|Employee|Employee Benefit Setup|Employee Staging|Local Taxes|Non-Prim,employee records + auth credentials + tenant config + payment instructions
M4,mixed,S1__yunbi.com-v2-swagger.yaml,Yunbi,yunbi.com,S1,22,16,addresses|deposit|deposit_address|deposits|depth|k|k_with_pending_trades|markets|members|order|order_book|orders|partners|tickers|timestamp|trades,public market data + account state + wallet movements + order management
M5,mixed,S1__etmdb.com-1.0.0-swagger.yaml,EtMDB REST API v1,etmdb.com,S1,27,18,cinema|cinema-detail|cinema-schedule|cinema-shedule-showtime|company|company-credits|filmography|filmography-type|genre|genre-type|job|media|movie|movie-cast|news|people|showtime|watchlist,cinemas/showtimes + corporate records + people + titles
