file,stage,reason
S1:1forge.com-0.0.1-swagger.yaml,c_min_ops,only_2_ops
S1:adyen.com-CheckoutService-30-openapi.yaml,c_min_ops,only_2_ops
S1:adyen.com-CheckoutService-31-openapi.yaml,c_min_ops,only_2_ops
S1:adyen.com-CheckoutService-32-openapi.yaml,c_min_ops,only_2_ops
S1:adyen.com-CheckoutUtilityService-1-openapi.yaml,c_min_ops,only_1_ops
S1:adyen.com-RecurringService-18-openapi.yaml,c_min_ops,only_2_ops
S1:adyen.com-RecurringService-25-openapi.yaml,c_min_ops,only_2_ops
S1:airport-web.appspot.com-v1-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-ec2-instance-connect-2018-04-02-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-entitlement.marketplace-2017-01-11-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-forecastquery-2018-06-26-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-kinesis-video-media-2017-09-30-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-marketplacecommerceanalytics-2015-07-01-swagger.yaml,c_min_ops,only_2_ops
S1:amazonaws.com-mobileanalytics-2014-06-05-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-personalize-events-2018-03-22-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-personalize-runtime-2018-05-22-swagger.yaml,c_min_ops,only_2_ops
S1:amazonaws.com-pi-2018-02-27-swagger.yaml,c_min_ops,only_2_ops
S1:amazonaws.com-qldb-session-2019-07-11-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-runtime.sagemaker-2017-05-13-swagger.yaml,c_min_ops,only_1_ops
S1:amazonaws.com-workmailmessageflow-2019-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:amentum.space-atmosphere-0.9.4-swagger.yaml,c_min_ops,only_2_ops
S1:amentum.space-cosmic-ray-1.0.9-swagger.yaml,c_min_ops,only_2_ops
S1:amentum.space-global-magnet-1.0.1-swagger.yaml,c_min_ops,only_1_ops
S1:apimatic.io-1.0-swagger.yaml,c_min_ops,only_1_ops
S1:apis.guru-2.0.1-swagger.yaml,c_min_ops,only_2_ops
S1:archive.org-wayback-1.0.0-swagger.yaml,c_min_ops,only_2_ops
