clean_file,title,provider,source,n_operations,n_tags,tags,n_path_roots,path_roots,pct_described,info_description
S1__googleapis.com-dataflow-v1b3-swagger.yaml,Dataflow,googleapis.com,S1,30,1,projects,1,v1b3,100,Manages Google Cloud Dataflow projects on Google Cloud Platform.
S2__googleapis.com__baremetalsolution__v2__openapi.yaml,Bare Metal Solution API,googleapis.com,S2,30,1,projects,1,v2,100,Provides ways to manage Bare Metal Solution hardware installed in a regional extension located near a Google Cloud data center.
S2__googleapis.com__clouddeploy__v1__openapi.yaml,Cloud Deploy API,googleapis.com,S2,30,1,projects,1,v1,100,
S2__googleapis.com__gkeonprem__v1__openapi.yaml,Anthos On-Prem API,googleapis.com,S2,30,1,projects,1,v1,100,
S2__googleapis.com__migrationcenter__v1alpha1__openapi.yaml,Migration Center API,googleapis.com,S2,30,1,projects,1,v1alpha1,100,A unified platform that helps you accelerate your end-to-end cloud journey from your current on-premises or cloud environments to Google Cloud.
S1__azure.com-web-AppServicePlans-2018-02-01-swagger.yaml,AppServicePlans API Client,azure.com,S1,29,1,AppServicePlans,1,subscriptions,100,
S2__googleapis.com__managedidentities__v1alpha1__openapi.yaml,Managed Service for Microsoft Active Directory API,googleapis.com,S2,29,1,projects,1,v1alpha1,100,"The Managed Service for Microsoft Active Directory API is used for managing a highly available, hardened service running Microsoft Active Directory (AD)."
S2__googleapis.com__ml__v1__openapi.yaml,AI Platform Training & Prediction API,googleapis.com,S2,29,1,projects,1,v1,100,An API to enable creating and using machine learning models.
S2__googleapis.com__toolresults__v1beta3__openapi.yaml,Cloud Tool Results API,googleapis.com,S2,29,1,projects,1,toolresults,100,API to publish and access results from developer tools.
S2__xero.com__xero-payroll-au__2.9.4__openapi.yaml,Xero Payroll AU API,xero.com,S2,29,1,PayrollAu,10,employees|leaveapplications|payitems|payrollcalendars|payruns|payslip|settings|superfundproducts|superfunds|timesheets,17,This is the Xero Payroll API for orgs in Australia region.
S1__googleapis.com-dialogflow-v2-swagger.yaml,Dialogflow,googleapis.com,S1,28,1,projects,1,v2,100,"Builds conversational interfaces (for example, chatbots, and voice-powered apps and devices)."
S1__googleapis.com-spanner-v1-swagger.yaml,Cloud Spanner,googleapis.com,S1,28,1,projects,1,v1,100,"Cloud Spanner is a managed, mission-critical, globally consistent and scalable relational database service."
S1__googleapis.com-vault-v1-swagger.yaml,G Suite Vault,googleapis.com,S1,28,1,matters,1,v1,100,Archiving and eDiscovery for G Suite.
S2__googleapis.com__datalabeling__v1beta1__openapi.yaml,Data Labeling API,googleapis.com,S2,28,1,projects,1,v1beta1,100,Public API for Google Cloud AI Data Labeling Service.
S2__openai.com__1.2.0__openapi.yaml,OpenAI API,openai.com,S2,28,1,OpenAI,13,answers|audio|chat|classifications|completions|edits|embeddings|engines|files|fine-tunes|images|models,0,APIs for sampling from and fine-tuning language models
S2__googleapis.com__authorizedbuyersmarketplace__v1__openapi.yaml,Authorized Buyers Marketplace API,googleapis.com,S2,27,1,buyers,1,v1,100,"The Authorized Buyers Marketplace API lets buyers programmatically discover inventory; propose, retrieve and negotiate deals with publishers."
S2__googleapis.com__contactcenterinsights__v1__openapi.yaml,Contact Center AI Insights API,googleapis.com,S2,27,1,projects,1,v1,100,
S1__googleapis.com-toolresults-v1beta3-swagger.yaml,Cloud Tool Results,googleapis.com,S1,26,1,projects,2,histories|settings,100,Reads and publishes results from Firebase Test Lab.
S2__googleapis.com__apigeeregistry__v1__openapi.yaml,Apigee Registry API,googleapis.com,S2,26,1,projects,1,v1,100,
S2__googleapis.com__documentai__v1beta3__openapi.yaml,Cloud Document AI API,googleapis.com,S2,26,1,projects,1,v1beta3,100,"Service to parse structured information from unstructured or semi-structured documents using state-of-the-art Google AI such as natural language, computer vision, translation, and AutoML."
S1__flickr.com-1.0.0-swagger.yaml,Flickr API Schema,flickr.com,S1,25,1,Public,24,oauth|rest?method=flickr.favorites.getcontext|rest?method=flickr.favorites.getlist|rest?method=flickr.galleries.getphotos|rest?method=flickr.groups.discuss.replies.getinfo|rest?method=flickr.groups.discuss.topics.getinfo|rest?method=flickr.groups.discuss.topics.getlist|rest?method=flickr.groups.getinfo|rest?method=flickr.groups.pools.getcontext|rest?method=flickr.groups.pools.getphotos|rest?method=flickr.people.getinfo|rest?method=flickr.people.getphotos,100,A subset of Flickr's API defined in Swagger format.
S1__googleapis.com-dataproc-v1beta2-swagger.yaml,Cloud Dataproc,googleapis.com,S1,25,1,projects,1,v1beta2,100,Manages Hadoop-based clusters and jobs on Google Cloud Platform.
S2__googleapis.com__automl__v1beta1__openapi.yaml,Cloud AutoML API,googleapis.com,S2,25,1,projects,1,v1beta1,100,Train high-quality custom machine learning models with minimum effort and machine learning expertise.
S1__googleapis.com-toolresults-v1beta3firstparty-swagger.yaml,Cloud Tool Results firstparty,googleapis.com,S1,24,1,projects,2,histories|settings,100,Reads and publishes results from Firebase Test Lab.
S2__apisetu.gov.in__edistrictkerala__3.0.0__openapi.yaml,"eDistrict Kerala, Kerala",apisetu.gov.in,S2,24,1,APIs,24,cmcer|cncer|ctcer|dmcer|dpcer|dscer|fmcer|idcer|imcer|incer|lfcer|lhcer,100,"eDistrict Kerala (https://edistrict.kerala.gov.in/) is the online service delivery portal for Kerala State Govt. Certain documents issued by it (e.g. Residence, Income, Caste Certificates etc) are made available in citizens' DigiLocker accounts."
S2__googleapis.com__adsense__v2__openapi.yaml,AdSense Management API,googleapis.com,S2,24,1,accounts,1,v2,100,The AdSense Management API allows publishers to access their inventory and run earnings and performance reports.
S2__googleapis.com__alloydb__v1__openapi.yaml,AlloyDB API,googleapis.com,S2,24,1,projects,1,v1,100,"AlloyDB for PostgreSQL is an open source-compatible database service that provides a powerful option for migrating, modernizing, or building commercial-grade applications. It offers full compatibility with standard PostgreSQL, and is more than 4x faster for transactional workloads and up to 100x fas"
S2__googleapis.com__firebaseappcheck__v1__openapi.yaml,Firebase App Check API,googleapis.com,S2,24,1,projects,1,v1,100,"Firebase App Check works alongside other Firebase services to help protect your backend resources from abuse, such as billing fraud or phishing."
S1__googleapis.com-cloudkms-v1-swagger.yaml,Cloud Key Management Service (KMS),googleapis.com,S1,23,1,projects,1,v1,100,"Manages keys and performs cryptographic operations in a central cloud service, for direct use by other cloud resources and applications."
S2__google.com__v3__openapi.yaml,Travel Partner API,google.com,S2,23,1,accounts,1,v3,100,"The Travel Partner API provides you with a RESTful interface to the Google Hotel Center platform. It enables an app to efficiently retrieve and change Hotel Center data, and is thus suitable for managing large or complex accounts."
S2__googleapis.com__metastore__v1__openapi.yaml,Dataproc Metastore API,googleapis.com,S2,23,1,projects,1,v1,100,The Dataproc Metastore API is used to manage the lifecycle and configuration of metastore services.
S1__azure.com-web-Diagnostics-2018-02-01-swagger.yaml,Diagnostics API Client,azure.com,S1,22,1,Diagnostics,1,subscriptions,100,
S1__gov.bc.ca-bcdc-3.0.1-openapi.yaml,BC Data Catalogue,gov.bc.ca,S1,22,1,action,1,action,100,This API provides live access to the BC Data Catalogue. Further documentation on the API is available from http://docs.ckan.org/en/latest/ Confirm the version of the API available from the catalogue by requesting https://catalogue.data.gov.bc.ca/api/3/action/status_show. Please note that you may exp
S2__googleapis.com__composer__v1beta1__openapi.yaml,Cloud Composer API,googleapis.com,S2,22,1,projects,1,v1beta1,100,Manages Apache Airflow environments on Google Cloud Platform.
S2__googleapis.com__contentwarehouse__v1__openapi.yaml,Document AI Warehouse API,googleapis.com,S2,22,1,projects,1,v1,100,
S2__googleapis.com__domains__v1alpha2__openapi.yaml,Cloud Domains API,googleapis.com,S2,22,1,projects,1,v1alpha2,100,Enables management and configuration of domain names.
S2__googleapis.com__notebooks__v2__openapi.yaml,Notebooks API,googleapis.com,S2,22,1,projects,1,v2,100,Notebooks API is used to manage notebook resources in Google Cloud.
S2__gov.bc.ca__bcdc__3.0.1__openapi.yaml,BC Data Catalogue API,gov.bc.ca,S2,22,1,action,1,action,100,This API provides live access to the BC Data Catalogue. Further documentation on the API is available from http://docs.ckan.org/en/latest/ Confirm the version of the API available from the catalogue by requesting https://catalogue.data.gov.bc.ca/api/3/action/status_show. Please note that you may exp
S2__googleapis.com__apphub__v1__openapi.yaml,App Hub API,googleapis.com,S2,21,1,projects,1,v1,100,
S1__azure.com-web-AppServiceCertificateOrders-2018-02-01-swagger.yaml,AppServiceCertificateOrders API Client,azure.com,S1,20,1,AppServiceCertificateOrders,1,subscriptions,100,
S1__ptv.vic.gov.au-v3-swagger.yaml,PTV Timetable API - Version 3,ptv.vic.gov.au,S1,25,10,Departures|Directions|Disruptions|Outlets|Patterns|RouteTypes|Routes|Runs|Search|Stops,1,v3,0,"The PTV Timetable API provides direct access to Public Transport Victoria’s public transport timetable data. The API returns scheduled timetable, route and stop data for all metropolitan and regional train, tram and bus services in Victoria, including Night Network(Night Train and Night Tram data ar"
S1__art19.com-1.0.0-swagger.yaml,ART19 Content,art19.com,S1,22,10,Classification|ClassificationInclusion|Credit|Episode|Image|MediaAsset|Network|Person|Season|Series,10,classification_inclusions|classifications|credits|episodes|images|media_assets|networks|people|seasons|series,0,The ART19 Content API conforms to the JSON-API specification. Details and examples can be found at http://jsonapi.org. <br/><br/>API requests <b>MUST</b> use the HTTP Accept header:<br/><code>Accept: application/vnd.api+json</code><br/><br/>API requests <b>MUST</b> be authenticated using the HTTP Au
S2__art19.com__1.0.0__openapi.yaml,ART19 Content API Documentation,art19.com,S2,22,10,Classification|ClassificationInclusion|Credit|Episode|Image|MediaAsset|Network|Person|Season|Series,10,classification_inclusions|classifications|credits|episodes|images|media_assets|networks|people|seasons|series,55,"The ART19 Content API conforms to the [JSON:API specification](http://jsonapi.org). API requests **MUST** use the HTTP Accept header: `Accept: application/vnd.api+json` API requests **MUST** be authenticated using the HTTP Authorization header: `Authorization: Token token=""your-token"", credential=""y"
S2__nbg.gr__v3.1.5__openapi.yaml,Account and Transaction API Specification - UK,nbg.gr,S2,21,10,AccountAccess|Accounts|Balances|Beneficiaries|Parties|Sandbox|ScheduledPayments|StandingOrders|Statements|Transactions,4,account-access-consents|accounts|party|sandbox,100,"## Functionality at a glance The NBG ""UK OPB - Account and Transaction v3.1.5"" API follows the [UK Open Banking Specification v3.1.5](https://openbankinguk.github.io/read-write-api-site3/v3.1.5/profiles/account-and-transaction-api-profile.html) This Account and Transaction API Specification describe"
S2__parliament.uk__bills__v1__openapi.yaml,Bills API,parliament.uk,S2,19,10,Amendments|BillNews|BillTypes|Bills|Documents|PublicationTypes|Publications|Rss|Sittings|Stages,1,api,0,"API to get and search for information regarding Bills, their stages, associated amendments and publications."
